Sample_Code,Description,Date,Plot,Sample_Category,Filter045_ml,Filter022_ml,DNA_TotalReads_STD,DNA_TotalReads_NonSTD,DNA_CopySum,Standard_curve_validity_16S,Standard_curve_validity_18S,Standard_curve_validity_ITS,Standard_curve_validity_COI,DADA2_Input_16S,DADA2_Input_18S,DADA2_Input_ITS,DADA2_Input_COI,DADA2_OutputProp_16S,DADA2_OutputProp_18S,DADA2_OutputProp_ITS,DADA2_OutputProp_COI,DNA_CopySum_16S,DNA_CopySum_18S,DNA_CopySum_ITS,DNA_CopySum_COI
S065,P1-7_26,2017-07-26,1,sample,100,30,40236,46979,1282904.4643216839,Valid,Valid,Valid,Valid,22377,25096,26809,22576,0.8710282879742592,0.993704175964297,0.7700026110634488,0.9808203401842664,1251015.998397298,26237.41243505949,5078.108576654789,572.9449126717398
S066,P1-7_27,2017-07-27,1,sample,100,30,40129,56866,1065619.0944627556,Valid,Valid,Valid,Valid,21942,36269,23565,23326,0.8928083128247197,0.9947889382116959,0.7759388924252069,0.9877390036868731,1027241.7387384851,30025.822885700738,5912.0517495875665,2439.4810889822766
S067,P1-7_28,2017-07-28,1,sample,100,30,28113,40914,1085600.2990001412,Valid,Valid,Valid,Valid,25177,17425,28359,9199,0.838145926837987,0.9934576757532281,0.7621918967523538,0.9782585063593869,1048398.1124132675,25993.905271200823,10834.708869152517,373.5724465203733
S068,P1-7_29,2017-07-29,1,sample,100,30,29043,43378,920359.0355463518,Valid,Valid,Valid,Valid,20686,16292,25896,21383,0.8099680943633375,0.9917137245273754,0.718682421995675,0.9773184305289249,896623.8989150285,14740.380661511233,7695.171072734851,1299.5848970772204
S069,P1-7_30,2017-07-30,1,sample,100,30,29621,44922,934739.0601437945,Valid,Valid,Valid,Valid,23734,24227,24877,11628,0.8443583045420072,0.9945102571511124,0.7656067853840898,0.9772101823185414,858327.7412798486,69704.32358340775,6158.145424107616,548.8498564304064
S070,P1-7_31,2017-07-31,1,sample,100,30,25283,41934,1346380.2664081308,Valid,Valid,Valid,Invalid,16414,30312,29966,NA,0.8510417935908371,0.99581024016891,0.7696389241139958,NA,1265985.9056517137,74015.8495266185,5879.466666666668,499.0445631318429
S071,P1-8_1,2017-08-01,1,sample,100,30,26604,27281,795689.7654231093,Valid,Valid,Valid,Valid,24418,15657,16535,6645,0.798755016790892,0.9950182027208277,0.7459328696703962,0.9733634311512416,762087.1443588957,28694.30466224547,4459.077132134761,449.23926983327937
S072,P1-8_2,2017-08-02,1,sample,100,30,43412,29939,665814.7370407426,Valid,Valid,Valid,Valid,27994,21298,22385,9594,0.8794384510966635,0.9950230068551038,0.8137592137592138,0.9718574108818011,649951.2834491319,12511.987299614915,3098.790322580644,252.67596941526506
S073,P1-8_3,2017-08-03,1,sample,100,30,50861,50435,726683.0099178089,Valid,Valid,Valid,Valid,28841,38045,25485,17700,0.8983391699316945,0.9957155999474306,0.796978614871493,0.9714124293785311,701138.6798814908,18404.33849900529,5764.349238147272,1375.6422991655481
S074,P1-8_4,2017-08-04,1,sample,100,30,43567,33563,625867.8002350862,Valid,Valid,Valid,Valid,25901,32168,18549,7240,0.8909694606385854,0.9952437204675454,0.8099088899671141,0.9689226519337016,603647.9826955678,15925.138143938017,4805.294627778539,1489.3847678018574
S075,P1-8_5,2017-08-05,1,sample,100,30,17320,51467,682968.2856924821,Invalid,Valid,Valid,Valid,NA,19027,44211,16062,NA,0.9944289693593314,0.7805071136142588,0.9562321006101357,615689.6106479098,47963.14633599117,17411.23734698202,1904.2913615990647
S076,P1-8_6,2017-08-06,1,sample,100,30,43662,44349,684960.7679879636,Valid,Valid,Valid,Valid,21997,42643,23204,8251,0.9014411056053098,0.9949815913514528,0.7725392173763145,0.9486122894194643,627731.2386002518,44309.524218015045,12813.795209282518,106.20996041418177
S077,P1-8_7,2017-08-07,1,sample,100,30,26410,70920,1915686.0236390694,Valid,Valid,Valid,Valid,21589,20190,59640,11129,0.8977256936402798,0.99098563645369,0.7930080482897385,0.9565998742025339,1838362.9471689174,55672.188649270196,21427.4523160763,223.4355048055449
S078,P1-8_8,2017-08-08,1,sample,100,30,26517,56234,1413175.9890556338,Invalid,Valid,Valid,Valid,NA,34339,30127,24970,NA,0.9953114534494307,0.8047598499684668,0.9742891469763717,1350115.0198586169,51367.77953533248,7486.87336109826,4206.316300586199
S079,P1-8_9,2017-08-09,1,sample,100,30,28725,37312,917988.4450229303,Valid,Valid,Valid,Valid,19497,17621,23751,11373,0.9030107195978868,0.9947222064582033,0.8398383225969432,0.9633342126088104,861867.0925483165,52297.392839742264,2866.105288303622,957.8543465680209
S080,P1-8_10,2017-08-10,1,sample,100,30,39729,48388,1040338.8923605529,Valid,Valid,Valid,Valid,22370,42585,19015,10429,0.9033974072418417,0.9951626159445814,0.83860110439127,0.9188800460255058,966160.3745976001,70670.77885717843,3193.269090957158,314.46981481731984
S081,P1-8_11,2017-08-11,1,sample,100,30,22623,45513,1835954.9216456178,Valid,Valid,Valid,Valid,18464,20671,21612,18597,0.8406087521663779,0.9920178027187848,0.7640199888950583,0.8386836586546217,1780386.6844638595,46652.16814865928,5842.366436188461,3073.702596910645
S082,P1-8_12,2017-08-12,1,sample,100,30,29258,33620,1096519.274785448,Valid,Valid,Valid,Valid,18133,19197,17124,16013,0.8504384271769702,0.9932802000312548,0.8066456435412287,0.910260413414101,1050749.5654692932,41103.29419787579,4282.973231530119,383.44188674904854
S083,P1-8_13,2017-08-13,1,sample,100,30,21170,27675,932591.5195397261,Valid,Valid,Valid,Valid,19212,13889,12983,10713,0.7862273579013117,0.996328029375765,0.7932681198490333,0.8963875665079809,873829.9118088337,54973.48821795474,3001.931591928917,786.1879210086936
S084,P1-8_14,2017-08-14,1,sample,100,30,28632,30212,1498454.5459047325,Valid,Valid,Valid,Valid,16039,18249,17308,16271,0.8022320593553214,0.991725574004055,0.7914837069563208,0.8714891524798721,1471528.583164203,22148.666851480644,4327.437992910843,449.8578961378785
S085,P1-8_15,2017-08-15,1,sample,100,30,40271,33324,1549656.3756206138,Valid,Valid,Valid,Valid,19841,29172,19380,13255,0.8694622246862558,0.9881050322226793,0.7863261093911249,0.926442851754055,1531687.6456876455,12337.592313418114,5308.848080133558,322.28953941661524
S086,P1-8_16,2017-08-16,1,sample,100,30,17683,51539,2139264.99004047,Valid,Valid,Valid,Valid,15495,19636,28588,15180,0.8513068731848984,0.9937359951110206,0.7814817405904575,0.9339262187088274,2046558.6892533181,80615.1345568266,9702.629266781447,2388.53696354407
S087,P1-8_17,2017-08-17,1,sample,100,30,23573,37520,886432.6301637262,Valid,Valid,Valid,Valid,17232,17601,20692,14295,0.7883008356545961,0.9938639850008523,0.8036922482118694,0.9364113326337881,815954.6307860279,64329.76254094648,5313.345923827511,834.8909129243093
S088,P1-8_18,2017-08-18,1,sample,100,30,14592,50266,1718903.0820352393,Valid,Valid,Valid,Valid,15716,18759,22314,17134,0.8093662509544414,0.9947225331840717,0.7930447252845747,0.921092564491654,1551294.2731669494,154002.40249217936,6638.886428719041,6967.519947391495
S089,P1-8_19,2017-08-19,1,sample,100,30,11934,59282,2322118.091215538,Valid,Valid,Valid,Valid,16529,25134,21004,17499,0.8076713654788553,0.994589002944219,0.7574271567320511,0.9691410937767873,1915644.4880573982,384029.8276430643,5707.072479022308,16736.70303605313
S090,P1-8_20,2017-08-20,1,sample,100,30,9806,48276,1805960.8474824547,Valid,Valid,Valid,Valid,17114,20445,14150,19434,0.6112539441393011,0.9967229151381756,0.618939929328622,0.9511680559843573,1247118.8782389788,548996.3116096746,4651.4291012772655,5194.228532523899
S091,P1-8_21,2017-08-21,1,sample,100,30,28995,48606,1217723.7466980554,Valid,Valid,Valid,Valid,20609,29501,15779,21420,0.8137706827114367,0.9956950611843667,0.7553076874326636,0.9121381886087768,1138039.3488964115,73826.24824112574,4888.417211921344,969.7323485967501
S092,P1-8_22,2017-08-22,1,sample,100,30,12498,54612,1731632.3639473165,Valid,Valid,Valid,Valid,15900,16982,22015,21826,0.8666666666666667,0.9971145919208574,0.7372246195775608,0.9239897370109045,1323423.6652874728,395396.66565009655,10719.596151956895,2092.436857790511
S093,P1-8_23,2017-08-23,1,sample,100,30,15031,60668,1597215.8291855962,Valid,Valid,Valid,Valid,16317,31361,16600,19225,0.8404118404118404,0.997098306814196,0.7283734939759036,0.9687906371911573,1235298.8524829329,348300.1184483269,3195.8588004861717,10420.999453850352
S094,P1-8_24,2017-08-24,1,sample,100,30,21166,43621,1446584.5191625748,Valid,Valid,Valid,Valid,18302,20813,14199,17985,0.8701781226095509,0.9970210925863643,0.787238537925206,0.9414512093411176,1294088.154123295,149065.60109806716,2471.5114543239165,959.252486888663
S095,P1-8_25,2017-08-25,1,sample,100,30,25253,36813,2624225.332432553,Valid,Valid,Valid,Valid,14011,16828,24292,16383,0.8250660195560631,0.9936415497979558,0.7603737856084307,0.9347494353903436,2587764.0279418775,29891.991723011153,6059.9911130668115,509.3216545975399
S096,P1-8_26,2017-08-26,1,sample,100,30,30585,44951,1889635.7513965364,Valid,Valid,Valid,Valid,16867,33661,14744,16717,0.8688563467125155,0.9957814681679095,0.8100922409115573,0.9222946700963092,1825300.530127679,61071.342788318034,1840.9302388763235,1422.948241663105
S097,P1-8_27,2017-08-27,1,sample,100,30,17187,24572,2897363.0923443143,Valid,Valid,Valid,Valid,9751,14292,6608,16342,0.8512973028407342,0.9920235096557515,0.75,0.8765145025088729,2854450.425150167,37392.01615125848,4851.888287697438,668.7627551913715
